X Position_µm,Y Position_µm,MODULUS_GPa,HARDNESS_GPa,cluster
34,14,287.401,25.28,1
32,14,280.946,22.699,1
30,14,240.756,8.249,0
28,14,260.291,8.051,0
26,14,253.212,6.554,0
24,14,241.7,17.921,1
22,14,248.185,8.537,0
20,14,253.479,14.402,1
18,14,230.611,6.768,0
16,14,283.956,9.995,1
14,14,249.049,6.992,0
12,14,253.993,6.704,0
10,14,230.602,6.135,0
8,14,286.578,21.081,1
6,14,281.932,18.622,1
4,14,256.0,7.395,0
2,14,242.434,6.844,0
0,14,251.565,7.659,0
0,16,281.24,7.129,0
2,16,233.0,7.368,0
4,16,255.588,7.22,0
6,16,220.902,8.857,0
8,16,233.832,10.285,0
10,16,258.928,16.954,1
12,16,269.237,20.57,1
14,16,258.559,11.796,0
16,16,275.357,18.594,1
18,16,294.548,8.542,1
20,16,263.376,5.818,0
22,16,244.122,10.306,0
24,16,260.336,6.41,0
26,16,267.599,20.695,1
28,16,218.654,7.116,0
30,16,255.416,7.575,0
32,16,210.892,7.122,0
34,16,261.203,8.08,0
36,16,233.023,6.165,0
38,16,227.734,6.878,0
40,16,282.605,20.733,1
42,16,271.125,19.143,1
44,16,266.791,19.067,1
46,16,260.735,22.77,1
48,16,261.7,20.749,1
48,18,254.005,21.902,1
46,18,269.18,21.28,1
44,18,209.943,6.438,0
42,18,242.498,10.755,0
40,18,252.677,17.564,1
38,18,246.014,7.15,0
36,18,201.826,7.479,0
34,18,229.836,8.088,0
32,18,275.561,7.571,0
30,18,223.844,6.794,0
28,18,261.258,7.266,0
26,18,261.42,6.368,0
24,18,268.134,19.656,1
22,18,272.097,9.915,0
20,18,261.323,6.212,0
18,18,280.145,11.201,1
16,18,247.714,9.615,0
14,18,244.575,6.005,0
12,18,225.282,8.437,0
10,18,250.55,20.43,1
8,18,293.451,6.855,1
6,18,254.441,6.756,0
4,18,256.892,10.309,0
2,18,229.94,15.188,0
0,18,208.331,9.872,0
0,20,297.406,21.092,1
2,20,284.069,20.437,1
4,20,297.866,19.14,1
6,20,229.529,8.419,0
8,20,283.069,23.295,1
10,20,252.267,9.517,0
12,20,245.036,6.95,0
14,20,274.779,20.872,1
16,20,283.67,6.377,0
18,20,248.432,12.245,0
20,20,251.149,6.553,0
22,20,274.959,12.309,1
24,20,269.99,21.605,1
26,20,269.384,19.291,1
28,20,262.593,6.929,0
30,20,248.227,6.36,0
32,20,246.646,7.694,0
34,20,256.197,7.557,0
36,20,190.629,6.899,0
38,20,225.617,7.237,0
40,20,277.958,6.383,0
42,20,240.99,18.82,1
44,20,249.623,7.359,0
46,20,266.949,11.42,1
48,20,260.061,22.647,1
48,22,238.839,9.282,0
46,22,198.589,6.815,0
44,22,248.291,7.975,0
42,22,250.26,7.201,0
40,22,207.59,7.015,0
38,22,245.605,7.801,0
36,22,282.599,11.919,1
34,22,232.918,6.168,0
32,22,272.669,10.438,1
30,22,276.828,21.932,1
28,22,272.597,20.579,1
26,22,291.816,7.668,1
24,22,255.803,9.083,0
22,22,276.709,6.31,0
20,22,271.6,19.951,1
18,22,269.563,19.269,1
16,22,239.934,6.789,0
14,22,269.809,22.088,1
12,22,266.919,17.941,1
10,22,204.157,5.968,0
8,22,246.119,18.616,1
6,22,245.971,6.665,0
4,22,321.523,6.89,1
2,22,289.367,19.885,1
0,22,281.457,19.931,1
0,24,281.285,19.048,1
2,24,287.255,20.179,1
4,24,231.99,6.072,0
6,24,254.638,7.499,0
8,24,227.738,6.639,0
10,24,269.009,20.709,1
12,24,247.105,16.529,1
14,24,248.708,6.248,0
16,24,229.361,14.557,0
18,24,247.168,6.459,0
20,24,267.113,12.572,1
22,24,270.919,11.205,1
24,24,247.418,7.361,0
26,24,247.064,6.66,0
28,24,260.214,19.525,1
30,24,272.299,20.754,1
32,24,246.161,21.319,1
34,24,268.355,22.925,1
36,24,230.799,16.008,0
38,24,237.265,6.369,0
40,24,218.957,6.703,0
42,24,265.094,6.434,0
44,24,225.993,6.85,0
46,24,282.777,6.71,0
48,24,216.776,6.953,0
48,26,239.645,7.501,0
46,26,247.871,14.783,1
44,26,260.067,22.996,1
42,26,260.47,19.88,1
40,26,281.711,16.273,1
38,26,246.536,19.461,1
36,26,228.316,7.545,0
34,26,264.375,7.363,0
32,26,244.615,7.754,0
30,26,255.279,6.663,0
28,26,220.628,6.209,0
26,26,214.56,5.937,0
24,26,220.01,6.574,0
22,26,266.871,22.648,1
20,26,226.235,7.102,0
18,26,221.423,7.091,0
16,26,239.452,17.335,1
14,26,218.049,7.278,0
12,26,250.096,5.735,0
10,26,242.344,9.241,0
8,26,262.169,6.26,0
6,26,220.129,6.752,0
4,26,236.574,6.515,0
2,26,278.049,10.146,1
0,26,260.277,5.507,0
0,28,206.141,7.283,0
2,28,249.091,6.681,0
4,28,227.036,6.819,0
6,28,250.04,19.262,1
8,28,257.919,18.288,1
10,28,244.982,7.441,0
12,28,236.647,7.183,0
14,28,283.194,20.582,1
16,28,249.315,8.461,0
18,28,256.078,7.077,0
20,28,247.311,6.914,0
22,28,256.928,18.908,1
24,28,241.351,6.724,0
26,28,251.643,7.311,0
28,28,260.417,7.537,0
30,28,231.732,8.059,0
32,28,257.42,7.885,0
34,28,231.252,7.338,0
36,28,261.637,7.467,0
38,28,269.533,6.614,0
40,28,259.469,19.401,1
42,28,257.76,20.993,1
44,28,231.82,9.475,0
46,28,263.401,21.491,1
48,28,215.507,15.544,0
48,30,240.403,20.0,1
46,30,252.898,17.028,1
44,30,203.59,5.654,0
42,30,271.218,6.809,0
40,30,239.49,16.995,1
38,30,289.215,23.761,1
36,30,250.793,7.701,0
34,30,210.92,7.683,0
32,30,247.168,7.248,0
30,30,227.408,7.685,0
28,30,259.428,7.089,0
26,30,242.694,8.055,0
24,30,224.294,16.148,0
22,30,230.485,12.519,0
20,30,256.769,7.298,0
18,30,252.548,8.011,0
16,30,228.082,6.72,0
14,30,273.609,22.64,1
12,30,276.3,7.634,0
10,30,248.059,7.954,0
8,30,240.745,7.243,0
6,30,238.572,15.18,0
4,30,261.752,21.133,1
2,30,262.439,15.646,1
0,30,266.789,11.334,1
0,32,248.035,19.347,1
2,32,257.291,19.799,1
4,32,293.044,6.658,0
6,32,258.258,7.263,0
8,32,250.885,7.346,0
10,32,246.053,6.756,0
12,32,264.625,19.985,1
14,32,263.83,20.058,1
16,32,260.9,7.259,0
18,32,237.465,7.659,0
20,32,234.6,7.645,0
22,32,241.903,7.754,0
24,32,262.421,7.994,0
26,32,264.027,19.29,1
28,32,260.182,18.436,1
30,32,211.898,6.457,0
32,32,239.808,6.967,0
34,32,236.13,6.255,0
36,32,252.1,19.652,1
38,32,251.476,18.325,1
40,32,271.064,22.421,1
42,32,246.452,20.41,1
44,32,246.455,8.818,0
46,32,261.157,6.435,0
48,32,209.887,5.836,0
48,34,269.582,10.477,0
46,34,226.575,5.734,0
44,34,235.028,7.102,0
42,34,256.325,13.295,1
40,34,254.526,20.248,1
38,34,267.068,20.325,1
36,34,251.369,16.45,1
34,34,283.445,7.077,0
32,34,232.683,6.075,0
30,34,234.624,7.296,0
28,34,253.479,20.671,1
26,34,231.703,6.505,0
24,34,235.122,6.863,0
22,34,252.919,6.64,0
20,34,229.579,7.394,0
18,34,255.865,7.399,0
16,34,249.123,8.616,0
14,34,237.137,18.713,1
12,34,259.005,19.474,1
10,34,254.64,12.406,0
8,34,258.114,7.266,0
6,34,227.264,7.53,0
4,34,243.654,8.204,0
2,34,226.352,7.308,0
0,34,235.141,7.234,0
0,36,248.666,7.723,0
2,36,200.37,8.486,0
4,36,223.081,8.417,0
6,36,239.117,8.004,0
8,36,238.091,7.06,0
10,36,267.227,20.873,1
12,36,269.414,20.029,1
14,36,258.668,8.361,0
16,36,163.865,8.548,0
18,36,240.244,8.321,0
20,36,260.393,7.614,0
22,36,235.403,7.245,0
24,36,203.083,7.559,0
26,36,222.629,7.41,0
28,36,254.633,6.579,0
30,36,249.686,19.594,1
32,36,254.204,17.602,1
34,36,256.918,6.977,0
36,36,212.087,5.524,0
38,36,239.386,20.297,1
40,36,231.832,14.978,0
42,36,242.7,11.015,0
44,36,238.458,6.195,0
46,36,254.221,13.368,1
48,36,254.266,6.436,0
48,38,242.757,6.442,0
46,38,247.78,5.461,0
44,38,252.8,6.191,0
42,38,221.182,6.56,0
40,38,283.823,7.458,0
38,38,289.593,6.717,0
36,38,217.298,7.406,0
34,38,220.092,7.013,0
32,38,293.436,6.496,0
30,38,262.737,22.982,1
28,38,246.21,7.831,0
26,38,239.995,7.173,0
24,38,232.98,7.085,0
22,38,253.25,7.261,0
20,38,264.0,6.984,0
18,38,234.245,8.057,0
16,38,262.651,7.222,0
14,38,229.719,7.0,0
12,38,250.87,20.689,1
10,38,262.133,22.482,1
8,38,264.884,9.746,0
6,38,227.776,6.806,0
4,38,216.813,8.096,0
2,38,233.944,8.075,0
0,38,255.662,6.997,0
0,40,248.872,7.663,0
2,40,228.862,8.153,0
4,40,223.659,8.524,0
6,40,248.435,7.817,0
8,40,256.178,19.574,1
10,40,262.279,19.123,1
12,40,249.421,18.688,1
14,40,240.759,7.568,0
16,40,280.641,8.502,0
18,40,266.698,7.833,0
20,40,256.337,6.842,0
22,40,262.024,20.44,1
24,40,252.677,8.137,0
26,40,244.685,6.651,0
28,40,236.583,6.114,0
30,40,248.975,17.288,1
32,40,213.438,7.27,0
34,40,243.179,6.992,0
36,40,230.117,7.485,0
38,40,313.197,7.156,1
40,40,257.94,7.767,0
42,40,193.749,6.474,0
44,40,216.406,6.277,0
46,40,243.349,5.968,0
48,40,251.05,17.033,1
48,42,287.478,6.273,0
46,42,225.865,12.894,0
44,42,241.487,5.38,0
42,42,234.165,6.628,0
40,42,206.991,7.238,0
38,42,229.294,8.047,0
36,42,244.133,6.986,0
34,42,216.773,6.275,0
32,42,216.368,6.649,0
30,42,240.872,18.046,1
28,42,232.674,5.911,0
26,42,273.429,6.236,0
24,42,256.084,18.388,1
22,42,252.171,19.619,1
20,42,215.406,6.4,0
18,42,247.536,18.348,1
16,42,237.247,17.4,1
14,42,278.34,5.867,0
12,42,217.969,9.763,0
10,42,248.568,19.156,1
8,42,273.769,19.896,1
6,42,209.029,6.875,0
4,42,230.046,6.993,0
2,42,221.411,6.962,0
0,42,252.835,8.087,0
0,44,259.049,7.714,0
2,44,247.784,8.444,0
4,44,228.367,7.883,0
6,44,249.551,8.426,0
8,44,269.58,19.256,1
10,44,238.554,17.772,1
12,44,261.164,17.782,1
14,44,243.076,16.152,1
16,44,267.224,19.163,1
18,44,241.035,18.281,1
20,44,232.347,6.802,0
22,44,225.15,13.759,0
24,44,276.928,21.586,1
26,44,233.808,7.004,0
28,44,231.565,5.151,0
30,44,229.819,6.411,0
32,44,211.804,6.627,0
34,44,212.228,6.892,0
36,44,235.451,6.637,0
38,44,245.926,7.708,0
40,44,243.253,6.214,0
42,44,263.11,13.896,1
44,44,238.592,18.113,1
46,44,265.401,20.388,1
48,44,235.383,15.433,0
48,46,253.527,18.187,1
46,46,257.542,18.104,1
44,46,260.687,18.772,1
42,46,198.12,5.82,0
40,46,228.429,11.878,0
38,46,236.72,17.52,1
36,46,218.626,5.631,0
34,46,213.992,6.343,0
32,46,207.441,7.083,0
30,46,245.817,6.055,0
28,46,251.409,6.125,0
26,46,239.845,16.9,1
24,46,241.877,17.214,1
22,46,270.326,20.648,1
20,46,267.236,7.123,0
18,46,233.612,17.478,1
16,46,239.781,17.42,1
14,46,244.098,17.478,1
12,46,243.419,13.175,0
10,46,273.779,18.912,1
8,46,259.119,17.612,1
6,46,251.411,13.729,0
4,46,238.734,7.139,0
2,46,227.954,7.655,0
0,46,244.762,7.921,0
0,48,267.316,7.774,0
2,48,255.523,7.229,0
4,48,226.57,7.922,0
6,48,255.183,7.117,0
8,48,253.469,8.448,0
10,48,228.242,6.457,0
12,48,240.345,6.715,0
14,48,239.595,16.41,1
16,48,252.113,17.807,1
18,48,239.505,17.026,1
20,48,244.4,5.832,0
22,48,249.486,17.956,1
24,48,226.483,14.362,0
26,48,244.683,6.172,0
28,48,221.952,6.658,0
30,48,255.003,17.931,1
32,48,247.791,18.776,1
34,48,247.273,17.152,1
36,48,271.351,19.496,1
38,48,251.703,20.005,1
40,48,230.84,18.389,1
42,48,241.399,5.951,0
44,48,270.911,8.74,0
46,48,228.358,16.8,0
48,48,242.875,17.642,1
